url,label,source,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
newsmax.com,4,MBFC,8216033,6162741,1626,1423,8185107,480397,858115,28726,65,7326328,15534,12215,2180,145196,2080,643,694,8037,282,110676,25317,52898,6
newsnationnow.com,5,MBFC,16029756,5984607,78197,78192,15850905,38081,122778,1183,36,15728074,2913,172979,33,1842,83,4,69367,4413674,1041312,25933,6590,12615,4469
newsnow.co.uk,4,MBFC,17177889,12325131,6,6,17159945,4192698,7395143,5165,3,9764576,649,2,35,10272,1139,360,6,0,166,33913,10717,19926,103
newsobserver.com,5,MBFC,3370303,2521483,18011,17557,3359135,555051,727364,7847,102,2631615,4967,3678,3176,54017,216,4,13727,805472,163719,81211,21890,44497,232
newson6.com,5,MBFC,947458,434803,210989,210883,942018,51503,169534,4406,2,772410,4388,468,187,2239,239,28,187189,26005151,3581073,26244,10381,18314,7377
newsone.com,5,MBFC,3829442,1055843,280099,280097,3825581,133343,148413,4753,177,3676535,2815,153,52,2179,90,10,218039,4799358,2716557,24098,8376,14401,11537
newsoptimist.ca,5,MBFC,167776,78271,1553,1553,167521,389,7540,83,0,159981,76,34,2027,85,142,1,45,764,3028,1421,1197,1658,36
newspress.com,4,MBFC,131273,68643,32507,32504,130711,7938,15387,264,0,115321,140,92,42,935,33,20,30952,3698821,538612,7518,3394,5068,1761
newspressnow.com,5,MBFC,397298,307988,24801,24798,395636,6588,249634,334,0,145993,390,896,1011,767,365,1,2098,193486,85212,12707,5565,9393,492
newspunch.com,3,MBFC-Q,402994,320823,34,34,400863,24295,32780,5131,10,365653,99,15,1,45,17,9,0,0,0,16471,4678,7696,2
newspushed.com,3,MBFC-Q,43218,21947,30889,30889,8962,721,754,117,0,8208,9,0,0,0,0,0,30083,1440338,137146,603,217,272,1534
newsrescue.com,3,MBFC-Q,105934,66169,28996,28993,105904,11093,9892,618,0,96001,15,0,0,33,4,0,25773,1168985,574375,5833,1981,2666,3619
newstarget.com,3,MBFC,3141369,2224219,313094,312999,1828960,22174,36407,2996,8,1792480,623,21,2,470,377,1,165140,11672138,5150152,12919,4577,8377,16586
newstatesman.com,5,MBFC,7665955,2935103,267208,267203,7652373,207716,752482,28643,389,6898176,4885,478,231,47948,1492,75,156087,13897763,1767037,96180,24207,49163,17510
newstimes.com,5,MBFC,4315151,2942062,6279667,6250092,3876845,103827,401084,5801,1,3475710,1442,435337,376,2283,505,0,6145968,177199402,63887151,21346,8514,14134,152440
newsvirginian.com,5,MBFC,93937,51789,6297,6297,93743,1524,12348,39,0,81395,30,80,12,86,73,3,618,48683,8448,1867,1223,1558,297
newswars.com,3,MBFC-Q,895156,555985,36903,36886,886833,7426,69787,11175,2,816652,1051,68,0,18,67,67,29607,763745,543941,7073,3325,6088,6149
newsweek.com,5,MBFC,74212073,39596631,1525335,1525322,73657586,4023772,4442703,125075,1992,69209859,20578,520603,6450,43112059,3806,49,999445,45692354,14819400,522084,64260,162519,66812
newswithviews.com,3,MBFC-Q,1542621,525709,49449,49448,1538804,58554,56821,4986,4,1481733,90,0,0,157,1258,0,32232,895286,951863,12457,4585,6942,15717
newsy.com,5,MBFC,1406585,688784,221253,221201,1345027,112754,56295,1856,4,1288706,2125,47321,25,2082,513,0,120836,4057228,1535445,18164,6369,11273,16367
newyork.cbslocal.com,5,MBFC,3984609,2394780,457565,457565,3932543,1220059,450500,9399,4559,3481228,16990,33210,1078,46970,403,73,157637,16935137,3731243,91364,22075,46186,8548
newyorker.com,5,MBFC,32516285,13209516,22827241,22759145,32473392,1329232,3465877,89498,786,29001283,18786,11900,2766,454733,10286,118,3402744,117640098,18733063,430430,66977,171454,20250
newzjunky.com,4,MBFC,171664,84531,24033,24033,171463,2110,44861,147,0,126602,146,7,13,1754,3,41,23553,528081,5246728,3508,1964,2683,1643
nextgov.com,5,MBFC,1493121,697370,120774,120763,1483838,321330,148356,2068,21,1335051,3569,4694,5448,4044,572,284,78633,3549527,1141638,22111,9921,16506,10668
nfrw.org,4,MBFC,106401,49803,23875,23836,106357,2421,3504,70,0,102852,28,1,0,500,12,0,20181,2534481,139715,1748,1122,1416,1132
ngo-monitor.org,4,MBFC,817817,427407,61019,61006,817251,5528,15495,818,18,801660,200,61,12,577,18,0,56237,1061862,470434,4419,2519,3608,4102
